lon,lat,name
120.6,39.5,QF105
120.07,39.02,QF109
121.15,38.55,QF113
123.34,38.92,QF106
123.5,37.99,QF107
122,37.54,QF114
123.5,36.86,QF112
120.45,36.05,QF163
121.38,36.2,QF101
122.01,35.26,QF103
122.57,33.13,MF04003
122.4,32.7,MF04001
119.7195,34.9338,QF162
123.53,31.23,MF05001
124.42,32.1,MF05002
122.61,31.74,MF05003
123.97,29.52,MF06001
122.5,27.5,MF06002
122.8,26.56,MF06003
119.8228,26.1658,MF06004
126.15,30.12,MF07001
118.61,23.73,MF09001
112.63,21.12,MF13001
118.3,22.49,MF14001
115.6,22.28,MF14002
114,21.5,MF14004
117.1,22.87,MQF3075
